path,filename,class_code,source_split,extension,file_size_bytes,read_ok,width,height,channels,mode,mean_brightness,median_brightness,std_brightness,dark_pixel_ratio,bright_pixel_ratio,sha256,split,true_class,predicted_original,predicted_bright3,dataset_index,original_brightness
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0815_090538_005 1840_0.jpg,2019_0815_090538_005 1840_0.jpg,A-1,test_original,.jpg,13255,True,181,156,3,RGB,112.51335144042967,82.33089447021484,70.16690063476562,0.0037186570335741,0.1444609718090381,926fff3d7d9c3f94f03bcc7a087d8444a546022b7a13650e7422637f45553d75,test_final,A-1,A-1,A-2,24,112.51335144042967
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0816_175356_008 186_0.jpg,2019_0816_175356_008 186_0.jpg,A-1,test_original,.jpg,5267,True,114,106,3,RGB,132.1060028076172,70.31890106201172,89.07351684570312,0.0939258523667659,0.0026481297583581,e0f2febd79292b0ec81ec2ce8619d0266f039e2f5d2dfc47dfa5c703fdd542c6,test_final,A-1,A-1,A-2,34,132.1060028076172
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0816_175356_008 374_0.jpg,2019_0816_175356_008 374_0.jpg,A-1,test_original,.jpg,1568,True,30,43,3,RGB,143.493896484375,155.1182861328125,35.17155838012695,0.0046511627906976,0.0,cd16f8b257b72566959b57786807bcdffd6f2656584ef6bff28f065d28fca8e2,test_final,A-1,A-1,A-2,36,143.493896484375
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-1\2019_0905_182313_001 0190_0.jpg,2019_0905_182313_001 0190_0.jpg,A-1,test_original,.jpg,2788,True,69,63,3,RGB,221.41661071777344,229.6361846923828,32.15678405761719,0.0013802622498274,0.1147918104439843,c289d0319263d37b15642e48b66ca8440eb4f8b6e99b5049bb7bc068f87f5fa3,test_final,A-1,A-1,A-2,49,221.41661071777344
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-11\2019_0719_142601_003 0241_1.jpg,2019_0719_142601_003 0241_1.jpg,A-11,test_original,.jpg,1242,True,31,28,3,RGB,151.43682861328125,125.50409698486328,67.06145477294922,0.0011520737327188,0.0034562211981566,0cd0221d12fe3357c13224f0f2a9943c7cebc98210e63bdbaa8b00c6a2642f18,test_final,A-11,A-11,A-2,51,151.43682861328125
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-15\2019_0929_154947_042 088_0.jpg,2019_0929_154947_042 088_0.jpg,A-15,test_original,.jpg,1938,True,45,47,3,RGB,98.46318817138672,84.7136001586914,48.578643798828125,0.0023640661938534,0.0,c1f190474e7d1d6f63ca006786fc9fef156616e96cb564ffcc89e34d4e854fa3,test_final,A-15,A-15,A-21,105,98.46318817138672
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-16\2019_0721_171043_003 0938_0.jpg,2019_0721_171043_003 0938_0.jpg,A-16,test_original,.jpg,1640,True,48,33,3,RGB,118.20535278320312,134.7615966796875,43.90220642089844,0.034090909090909,0.0018939393939393,9662e06cf3767f21177f571803828f1e0061bc306b120e1ae1d03a38a1f56f28,test_final,A-16,A-16,D-6,130,118.20535278320312
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-17\2019_0719_142601_003 2052_0.jpg,2019_0719_142601_003 2052_0.jpg,A-17,test_original,.jpg,1232,True,36,25,3,RGB,66.88863372802734,46.00389862060547,38.41953659057617,0.01,0.0,92eecad00acaa77f551deec6cd150789b41e13d2d53c94ddd80939094756aeb2,test_final,A-17,A-17,A-12a,168,66.88863372802734
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0719_142601_003 2059_0.jpg,2019_0719_142601_003 2059_0.jpg,A-18b,test_original,.jpg,5034,True,93,73,3,RGB,124.04747772216795,123.08560180664062,70.03597259521484,0.0256296950950066,0.1256444248048313,69d6f45140ab6996ba4145fe69369d3cca1658bcea4323585cbd1c71cd752e2b,test_final,A-18b,A-18b,A-16,236,124.04747772216795
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\test\A-18b\2019_0721_171043_003 1012_0.jpg,2019_0721_171043_003 1012_0.jpg,A-18b,test_original,.jpg,10377,True,157,151,3,RGB,130.62884521484375,107.30979919433594,74.77914428710938,0.0014341755599611,0.0024043531446408,e8cdf30e564cc36596d94c3ef755438f0076aba41ffb2f1e48df9803dfe7be74,test_final,A-18b,A-18b,A-14,241,130.62884521484375
