path,filename,class_code,analysis_split,mean_brightness,median_brightness,std_brightness,dark_pixel_ratio,bright_pixel_ratio,brightness_group
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0719_142601_003 1209_mirrored_0.jpg,2019_0719_142601_003 1209_mirrored_0.jpg,A-1,train,218.22640991210935,239.2834014892578,49.80025863647461,0.0076190476190476,0.4495238095238095,bright
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0719_142601_003 1210_mirrored_0.jpg,2019_0719_142601_003 1210_mirrored_0.jpg,A-1,train,155.21334838867188,159.44119262695312,46.89484024047852,0.0037878787878787,0.0,normal
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0719_142601_003 1729_mirrored_0.jpg,2019_0719_142601_003 1729_mirrored_0.jpg,A-1,train,101.10221099853516,132.84640502929688,43.33418655395508,0.0654726368159204,0.0,normal
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1523_mirrored_0.jpg,2019_0721_171043_003 1523_mirrored_0.jpg,A-1,train,44.216121673583984,24.0,35.62270736694336,0.4240643365295391,0.0,dark
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1524_mirrored_0.jpg,2019_0721_171043_003 1524_mirrored_0.jpg,A-1,train,66.24761962890625,38.276798248291016,42.60556411743164,0.1013019698949712,0.0,normal
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1553_mirrored_0.jpg,2019_0721_171043_003 1553_mirrored_0.jpg,A-1,train,99.38038635253906,109.23839569091795,46.597198486328125,0.0294117647058823,0.0,normal
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1554_mirrored_0.jpg,2019_0721_171043_003 1554_mirrored_0.jpg,A-1,train,47.58211898803711,47.25960159301758,31.406169891357425,0.1632817066043249,0.0,dark
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1787_mirrored_0.jpg,2019_0721_171043_003 1787_mirrored_0.jpg,A-1,train,47.59382247924805,46.526798248291016,30.392248153686523,0.174484052532833,0.0,dark
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1788_mirrored_0.jpg,2019_0721_171043_003 1788_mirrored_0.jpg,A-1,train,122.55884552001952,97.10479736328124,75.12722778320312,0.0278846153846153,0.0513461538461538,normal
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0726_185626_003 195_mirrored_0.jpg,2019_0726_185626_003 195_mirrored_0.jpg,A-1,train,113.11249542236328,83.6116943359375,89.3869857788086,0.1306306306306306,0.0187687687687687,normal
