path,filename,class_code,source_split,extension,file_size_bytes
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0719_142601_003 1209_mirrored_0.jpg,2019_0719_142601_003 1209_mirrored_0.jpg,A-1,train_original,.jpg,1143
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0719_142601_003 1210_mirrored_0.jpg,2019_0719_142601_003 1210_mirrored_0.jpg,A-1,train_original,.jpg,2010
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0719_142601_003 1729_mirrored_0.jpg,2019_0719_142601_003 1729_mirrored_0.jpg,A-1,train_original,.jpg,2990
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1523_mirrored_0.jpg,2019_0721_171043_003 1523_mirrored_0.jpg,A-1,train_original,.jpg,2133
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1524_mirrored_0.jpg,2019_0721_171043_003 1524_mirrored_0.jpg,A-1,train_original,.jpg,9441
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1553_mirrored_0.jpg,2019_0721_171043_003 1553_mirrored_0.jpg,A-1,train_original,.jpg,1405
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1554_mirrored_0.jpg,2019_0721_171043_003 1554_mirrored_0.jpg,A-1,train_original,.jpg,5231
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1787_mirrored_0.jpg,2019_0721_171043_003 1787_mirrored_0.jpg,A-1,train_original,.jpg,1518
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0721_171043_003 1788_mirrored_0.jpg,2019_0721_171043_003 1788_mirrored_0.jpg,A-1,train_original,.jpg,6442
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-1\2019_0726_185626_003 195_mirrored_0.jpg,2019_0726_185626_003 195_mirrored_0.jpg,A-1,train_original,.jpg,2013
