path,filename,class_code,source_split,extension,file_size_bytes,read_ok,width,height,channels,mode,mean_brightness,median_brightness,std_brightness,dark_pixel_ratio,bright_pixel_ratio,sha256
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-2\2020_0321_094429_005 1858_mirrored_1.jpg,2020_0321_094429_005 1858_mirrored_1.jpg,A-2,train_original,.jpg,1807,True,49,53,3,RGB,50.19960021972656,48.422401428222656,14.15526294708252,0.0015402387370042356,0.0,007c7bbbafc7f51b300b241bd830e4e6ae41084c83410d47b38d9bfef9d1ff88
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-2\2020_0321_094429_005 1858_mirrored_0.jpg,2020_0321_094429_005 1858_mirrored_0.jpg,A-2,train_original,.jpg,1807,True,49,53,3,RGB,50.19960021972656,48.422401428222656,14.15526294708252,0.0015402387370042356,0.0,007c7bbbafc7f51b300b241bd830e4e6ae41084c83410d47b38d9bfef9d1ff88
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\D-28\2020_0321_094429_005 0329_1.jpg,2020_0321_094429_005 0329_1.jpg,D-28,train_original,.jpg,2667,True,50,61,3,RGB,90.81497192382812,85.77300262451172,46.45023727416992,0.02622950819672131,0.0,01b92b3dadcdf76c4eeabea7a294f5fde728807f0c5cba2caf4f9bea0925da19
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\D-28\2020_0321_094429_005 0329_0.jpg,2020_0321_094429_005 0329_0.jpg,D-28,train_original,.jpg,2667,True,50,61,3,RGB,90.81497192382812,85.77300262451172,46.45023727416992,0.02622950819672131,0.0,01b92b3dadcdf76c4eeabea7a294f5fde728807f0c5cba2caf4f9bea0925da19
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-18b\2020_0321_094429_005 0628_1.jpg,2020_0321_094429_005 0628_1.jpg,A-18b,train_original,.jpg,2034,True,56,57,3,RGB,71.72930145263672,57.37910079956055,36.69725036621094,0.014097744360902255,0.0,037856018c34b8cb6f1cb3ef754e621fe43aed67632b4a09bc64307a4254d3b4
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\A-18b\2020_0321_094429_005 0628_0.jpg,2020_0321_094429_005 0628_0.jpg,A-18b,train_original,.jpg,2034,True,56,57,3,RGB,71.72930145263672,57.37910079956055,36.69725036621094,0.014097744360902255,0.0,037856018c34b8cb6f1cb3ef754e621fe43aed67632b4a09bc64307a4254d3b4
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\D-43\2020_0321_094429_005 0322_0.jpg,2020_0321_094429_005 0322_0.jpg,D-43,train_original,.jpg,1962,True,57,38,3,RGB,88.17388153076172,76.92379760742188,47.01998519897461,0.030470914127423823,0.0,03b96f9970327a9ab5705fe23c7f3da33edb175ba1931f7d8414ace7b94d447a
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\D-43\2020_0321_094429_005 0322_1.jpg,2020_0321_094429_005 0322_1.jpg,D-43,train_original,.jpg,1962,True,57,38,3,RGB,88.17388153076172,76.92379760742188,47.01998519897461,0.030470914127423823,0.0,03b96f9970327a9ab5705fe23c7f3da33edb175ba1931f7d8414ace7b94d447a
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\D-3\2020_0321_094429_005 0112_0.jpg,2020_0321_094429_005 0112_0.jpg,D-3,train_original,.jpg,1104,True,26,29,3,RGB,84.7100601196289,66.96900177001953,35.17439651489258,0.0,0.0,0458a2871afbae30a5176b8641885c684b3af1c79147202b96b1e747ce716a03
C:\Users\Dell\Desktop\Kacper Błachowiak - praca magisterska - klasyfikacja znaków drogowych\KB_Praca_Magisterska\data\raw\polish_traffic_signs_dataset\train\D-3\2020_0321_094429_005 0112_1.jpg,2020_0321_094429_005 0112_1.jpg,D-3,train_original,.jpg,1104,True,26,29,3,RGB,84.7100601196289,66.96900177001953,35.17439651489258,0.0,0.0,0458a2871afbae30a5176b8641885c684b3af1c79147202b96b1e747ce716a03
